stage,group,team1,team2,venue,date,time
Group Stage,A,Germany,Scotland,Munich,2024-06-14,21:00
Group Stage,A,Hungary,Switzerland,Cologne,2024-06-15,15:00
Group Stage,B,Spain,Croatia,Berlin,2024-06-15,18:00
Group Stage,B,Italy,Albania,Dortmund,2024-06-15,21:00
Group Stage,D,Poland,Netherlands,Hamburg,2024-06-16,15:00
Group Stage,C,Slovenia,Denmark,Stuttgart,2024-06-16,18:00
Group Stage,C,Serbia,England,Gelsenkirchen,2024-06-16,21:00
Group Stage,E,Romania,Ukraine,Munich,2024-06-17,15:00
Group Stage,E,Belgium,Slovakia,Frankfurt,2024-06-17,18:00
Group Stage,D,Austria,France,Düsseldorf,2024-06-17,21:00
Group Stage,F,Turkey,Georgia,Dortmund,2024-06-18,18:00
Group Stage,F,Portugal,Czechia,Leipzig,2024-06-18,21:00
Group Stage,B,Croatia,Albania,Hamburg,2024-06-19,15:00
Group Stage,A,Germany,Hungary,Stuttgart,2024-06-19,18:00
Group Stage,A,Scotland,Switzerland,Cologne,2024-06-19,21:00
Group Stage,C,Slovenia,Serbia,Munich,2024-06-20,15:00
Group Stage,C,Denmark,England,Frankfurt,2024-06-20,18:00
Group Stage,B,Spain,Italy,Gelsenkirchen,2024-06-20,21:00
Group Stage,E,Slovakia,Ukraine,Düsseldorf,2024-06-21,15:00
Group Stage,D,Poland,Austria,Berlin,2024-06-21,18:00
Group Stage,D,Netherlands,France,Leipzig,2024-06-21,21:00
Group Stage,F,Georgia,Czechia,Hamburg,2024-06-22,15:00
Group Stage,F,Turkey,Portugal,Dortmund,2024-06-22,18:00
Group Stage,E,Belgium,Romania,Cologne,2024-06-22,21:00
Group Stage,A,Switzerland,Germany,Frankfurt,2024-06-23,21:00
Group Stage,A,Scotland,Hungary,Stuttgart,2024-06-23,21:00
Group Stage,B,Croatia,Italy,Leipzig,2024-06-24,21:00
Group Stage,B,Albania,Spain,Düsseldorf,2024-06-24,21:00
Group Stage,D,Netherlands,Austria,Berlin,2024-06-25,18:00
Group Stage,D,France,Poland,Dortmund,2024-06-25,18:00
Group Stage,C,England,Slovenia,Cologne,2024-06-25,21:00
Group Stage,C,Denmark,Serbia,Munich,2024-06-25,21:00
Group Stage,E,Slovakia,Romania,Frankfurt,2024-06-26,18:00
Group Stage,E,Ukraine,Belgium,Stuttgart,2024-06-26,18:00
Group Stage,F,Czechia,Turkey,Hamburg,2024-06-26,21:00
Group Stage,F,Georgia,Portugal,Gelsenkirchen,2024-06-26,21:00